No,검색어,결과값
1,품목,목근피
1,품목,목단피
4,가그린오리지널,플루오르화나트륨/세틸피리디늄염화물수화물
6,파자임에어프리,시메티콘 산
8,가네타인,L-아르기닌/베타인/베타인염산염/시트르산수화물
12,리버킹,밀크시슬열매건조엑스
15,가네원 연질캡슐,밀크시슬열매건조엑스
16,라라올라액,L-아스파르트산-L-아르기닌수화물
17,알코덱스,베타인염산염/L-아르기닌/베타인/시트르산수화물
19,대웅 우루사,우르소데옥시콜산/티아민질산염/리보플라빈
19,대웅 우루사,티아민질산염/리보플라빈/우르소데옥시콜산/리보플라빈3배산/티아민질산염3배산
20,헤파멜즈산,L-아스파르트산-L-오르니틴
22,멸균거즈 대,
22,멸균거즈 대,거즈3호
23,멸균거즈 소,
24,멸균거즈 중,
26,임팩타민원스,벤포티아민/리보플라빈/니코틴산아미드/판토텐산칼슘/피리독신염산염/시아노코발라민100배산/콜린타르타르산염/이노시톨/d-비오틴/폴산/산화아연/아스코르브산과립97%/농축콜레칼시페롤/토코페롤아세테이트 50%/셀레늄함유건조효모/우르소데옥시콜산/산화마그네슘
28,마그라민트리플액션,산화마그네슘/시트르산마그네슘수화물/글리세로인산마그네슘/콜레칼시페롤농축분말/푸르설티아민/피리독신염산염/초산디알파토코페롤
30,이명래고약,연교/금은화/목향/유향/몰약/도지/도인/상지/유지/마치현/황단/창출/황/석검/청피
30,이명래고약,연교/금은화/목향/유향/몰약/도지/도인/상지/유지/마치현/황단/창출/황/석검/청피
31,관장약 성광,농글리세린
32,관장약 그린,농글리세린
36,비백큐 골드,리보플라빈/니코틴산아미드/판토텐산칼슘/피리독신염산염/폴산/콜린타르타르산염/이노시톨/D-비오틴/산화아연/직타용아스코르브산97%/시아노코발라민 1000배산/티아민질산염/벤포티아민/감마-오리자놀/산화마그네슘/유비데카레논
37,페리덱스연고,덱사메타손
38,오라메디,트리암시놀론아세토니드
39,립톡케어액,폴리크레줄렌 액50%
40,알보칠,폴리크레줄렌액50%
41,아프타치정,트리암시놀론아세토니드
42,아프니벤큐액,디클로페낙
43,헥사메딘 액 0.12%,클로르헥시딘글루콘산염 액
46,알비정,발사르탄/암로디핀베실산염
46,알비정,발사르탄/암로디핀베실산염
47,네오벤졸,알벤다졸
48,마우스스프레이 민트,염화세틸피리디늄액
48,마우스스프레이 민트,세틸피리디늄염화물수화물
49,리리스정,아세트아미노펜/클로르족사존
50,포박신,작약/감초
51,작감정,작약감초탕연조엑스
52,파인스겔,피록시캄
53,당귀수산,감초/작약/계심/소목/오약/홍화/향부자/도인/당귀
53,당귀수산,계심/도인/소목/홍화/향부자/오약/작약/당귀/감초/당귀수산 연조엑스
54,소경활혈탕엑스과립,당귀/지황/천궁/백출/복령/도인/작약/우슬/위령선/방기/강활/방풍/용담/생강/진피/백지/감초
54,소경활혈탕엑스과립,복령/백지/용담/천궁/작약/지황/위령선/방기/생강/강활/진피/우슬/백출/방풍/도인/당귀/감초
55,머슬펜,아세트아미노펜/산화마그네슘/푸르설티아민
55,머슬펜,아세트아미노펜/클로르족사존
56,푸리아과립(갈근탕),갈근/작약/계지/감초/마황/대추/건강/건조엑스로서
57,한솔갈근탕,갈근/마황/대추/작약/감초/건강/계지/이상 수침연조엑스
57,한솔갈근탕,작약/마황/대추/계피/건강/감초/갈근
58,록소앤겔,록소프로펜나트륨수화물
60,타벡스겔,헤파린나트륨/양파연조엑스/알란토인
60,타벡스겔,에스신/살리실산디에틸아민
61,신신아렉스로션,살리실산메틸/l-멘톨/노닐산바닐릴아미드/토코페롤아세테이트
62,신신에어파스 F,l-멘톨/살리실산메틸/디펜히드라민/dl-캄파
